lat,long,country_code,country_name,nearest_place,admin1
21.359962796,-157.924390273,US,United States,Halawa,Hawaii
21.340469224,-157.866949232,US,United States,Honolulu,Hawaii
61.5697988,-149.3655352,US,United States,Lakes,Alaska
20.882947757,-156.449405204,US,United States,Kahului,Hawaii
21.329256396,-158.075469417,US,United States,Makakilo City,Hawaii
21.316873366,-158.005604779,US,United States,'Ewa Beach,Hawaii
21.294944025,-157.842087962,US,United States,Honolulu,Hawaii
21.324366032,-157.876144444,US,United States,Honolulu,Hawaii
20.87904998,-156.45487468,US,United States,Kahului,Hawaii
21.393495031,-158.026053806,US,United States,Royal Kunia,Hawaii
61.140442714,-149.868856903,US,United States,Anchorage,Alaska
60.564130191,-151.226888029,US,United States,Kenai,Alaska
60.558125667,-151.278770667,US,United States,Kenai,Alaska
61.1449217,-149.8543464,US,United States,Anchorage,Alaska
64.856983342,-147.689690142,US,United States,Fairbanks,Alaska
61.217241,-149.7720596,US,United States,Anchorage,Alaska
21.397732613,-157.974574156,US,United States,"Pearl City, Manana",Hawaii
21.305065563,-157.833073079,US,United States,Honolulu,Hawaii
61.139845907,-149.868590246,US,United States,Anchorage,Alaska
21.309836722,-157.859810489,US,United States,Honolulu,Hawaii
20.878654948,-156.456128658,US,United States,Kahului,Hawaii
61.5994844,-149.2546725,US,United States,Gateway,Alaska
20.878255998,-156.45576288,US,United States,Kahului,Hawaii
61.322823,-149.5575124,US,United States,Eagle River,Alaska
61.2171703,-149.7720987,US,United States,Anchorage,Alaska
21.451973564,-158.00260237,US,United States,Mililani Town,Hawaii
19.8366052,-155.1054768,US,United States,Pepeekeo,Hawaii
21.289716333,-157.820738167,US,United States,Honolulu,Hawaii
21.313861257,-157.990993195,US,United States,Iroquois Point,Hawaii
61.221893311,-149.724684446,US,United States,Elmendorf Air Force Base,Alaska
21.397584417,-157.974523523,US,United States,"Pearl City, Manana",Hawaii
21.36058371,-157.900130463,US,United States,Halawa Heights,Hawaii
61.139163922,-149.954737404,US,United States,Anchorage,Alaska
21.3155863,-157.8547046,US,United States,Honolulu,Hawaii
61.21195982,-149.741542887,US,United States,Elmendorf Air Force Base,Alaska
21.294917727,-157.842232581,US,United States,Honolulu,Hawaii
21.279222933,-157.830916578,US,United States,Honolulu,Hawaii
21.404957047,-157.74593825,US,United States,Kailua,Hawaii
20.878477142,-156.456293664,US,United States,Kahului,Hawaii
61.2249977,-149.8067851,US,United States,Anchorage,Alaska
21.391234431,-158.035186445,US,United States,Village Park,Hawaii
61.364766439,-149.541159422,US,United States,Eagle River,Alaska
61.1314817,-149.8519017,US,United States,Anchorage,Alaska
61.558374812,-149.81092747,US,United States,Houston,Alaska
61.211287544,-149.741861236,US,United States,Elmendorf Air Force Base,Alaska
21.342718796,-158.075798038,US,United States,Makakilo City,Hawaii
19.6459481,-155.9902363,US,United States,Kailua-Kona,Hawaii
20.8784281,-156.455677805,US,United States,Kahului,Hawaii
18.366418283,-65.711088932,PR,Puerto Rico,Luquillo,Luquillo
64.857174305,-147.689914178,US,United States,Fairbanks,Alaska
21.451495178,-158.005720757,US,United States,Mililani Town,Hawaii
21.38052778,-157.786461104,US,United States,Maunawili,Hawaii
20.886748528,-156.504173356,US,United States,Wailuku,Hawaii
61.21125355,-149.743507468,US,United States,Elmendorf Air Force Base,Alaska
61.553699605,-149.424542742,US,United States,Wasilla,Alaska
21.312202555,-158.007901674,US,United States,'Ewa Beach,Hawaii
20.87831358,-156.45556657,US,United States,Kahului,Hawaii
20.905597734,-156.484849966,US,United States,Kahului,Hawaii
21.452562808,-158.006939547,US,United States,Mililani Town,Hawaii
19.64594012,-155.990148275,US,United States,Kailua-Kona,Hawaii
21.32193522,-158.02378036,US,United States,'Ewa Beach,Hawaii
19.63168991,-155.03982695,US,United States,Kea'au,Hawaii
64.85922181,-147.71863856,US,United States,Fairbanks,Alaska
21.450726844,-158.005788367,US,United States,Mililani Town,Hawaii
21.397457833,-157.9752153,US,United States,"Pearl City, Manana",Hawaii
61.144673343,-149.862614709,US,United States,Anchorage,Alaska
21.34231566,-158.07451905,US,United States,Makakilo City,Hawaii
21.351208895,-157.859776909,US,United States,Honolulu,Hawaii
61.28695312,-149.405491428,US,United States,Eagle River,Alaska
21.309276172,-157.810132126,US,United States,Honolulu,Hawaii
60.484922764,-151.081335546,US,United States,Soldotna,Alaska
21.4284322,-157.9550038,US,United States,Waimalu,Hawaii
20.890071065,-156.50183262,US,United States,Wailuku,Hawaii
21.295441268,-157.842139082,US,United States,Honolulu,Hawaii
18.32409169,-66.27768343,PR,Puerto Rico,H. Rivera Colon,Toa Alta
21.294873324,-157.842306456,US,United States,Honolulu,Hawaii
21.450351787,-158.005281038,US,United States,Mililani Town,Hawaii
20.881115625,-156.464689746,US,United States,Kahului,Hawaii
21.295377867,-157.843013598,US,United States,Honolulu,Hawaii
21.318183823,-158.004735146,US,United States,'Ewa Beach,Hawaii
20.876318024,-156.472310776,US,United States,Kahului,Hawaii
19.699909957,-155.063256808,US,United States,Hilo,Hawaii
21.286538868,-157.819740777,US,United States,Honolulu,Hawaii
21.394907443,-157.972952662,US,United States,"Pearl City, Manana",Hawaii
21.39071081,-158.03445997,US,United States,Royal Kunia,Hawaii
21.296274476,-157.842391019,US,United States,Honolulu,Hawaii
21.451394173,-158.005312298,US,United States,Mililani Town,Hawaii
61.119336438,-149.761300595,US,United States,Anchorage,Alaska
21.3976022,-157.9750373,US,United States,"Pearl City, Manana",Hawaii
21.450876732,-158.005773504,US,United States,Mililani Town,Hawaii
21.2959233,-157.8427233,US,United States,Honolulu,Hawaii
21.341979309,-158.074826,US,United States,Makakilo City,Hawaii
61.2109588,-149.7441711,US,United States,Elmendorf Air Force Base,Alaska
21.3181545,-157.9800516,US,United States,Iroquois Point,Hawaii
61.58704603,-149.530143154,US,United States,Meadow Lakes,Alaska
61.211120715,-149.743267052,US,United States,Elmendorf Air Force Base,Alaska
21.2873233,-157.8052115,US,United States,Honolulu,Hawaii
61.568318041,-149.363734589,US,United States,Lakes,Alaska
61.228765686,-149.74247614,US,United States,Elmendorf Air Force Base,Alaska
61.229244686,-149.855239795,US,United States,Anchorage,Alaska
0.0,-115.195953362,MX,Mexico,San Patricio,Jalisco
61.138885018,-149.932670185,US,United States,Anchorage,Alaska
61.1601511,-149.9363471,US,United States,Anchorage,Alaska
21.32060443,-157.985872051,US,United States,Iroquois Point,Hawaii
21.3664971,-157.9226806,US,United States,Halawa,Hawaii
8.90537728,-64.20109393,VE,"Venezuela, Bolivarian Republic of",San Jose de Guanipa,Anzoategui
61.1913296,-149.8803173,US,United States,Anchorage,Alaska
61.5676418,-149.3633265,US,United States,Lakes,Alaska
21.389074388,-157.998998185,US,United States,Waipahu,Hawaii
21.315219508,-157.862705586,US,United States,Honolulu,Hawaii
21.477202091,-158.086131353,US,United States,Schofield Barracks,Hawaii
19.717386174,-155.083413771,US,United States,Hilo,Hawaii
21.397632782,-157.975010845,US,United States,"Pearl City, Manana",Hawaii
21.280514667,-157.793252,US,United States,Honolulu,Hawaii
61.140123795,-149.892125459,US,United States,Anchorage,Alaska
21.3907778,-158.0341964,US,United States,Royal Kunia,Hawaii
61.211142059,-149.743345939,US,United States,Elmendorf Air Force Base,Alaska
21.3446917,-157.9086117,US,United States,Halawa Heights,Hawaii
21.295182103,-157.842733983,US,United States,Honolulu,Hawaii
21.3975583,-157.97505,US,United States,"Pearl City, Manana",Hawaii
61.578615821,-149.412729026,US,United States,Wasilla,Alaska
61.112595732,-149.787950159,US,United States,Anchorage,Alaska
21.4725703,-158.0018763,US,United States,Waipi'o Acres,Hawaii
19.5594846,-154.9946394,US,United States,Orchidlands Estates,Hawaii
61.569899578,-149.36463723,US,United States,Lakes,Alaska
21.56689594,-158.12092076,US,United States,Waialua,Hawaii
21.364583196,-157.906093296,US,United States,Halawa Heights,Hawaii
21.342450908,-158.074713562,US,United States,Makakilo City,Hawaii
61.608698799,-149.115739799,US,United States,Palmer,Alaska
21.342345538,-158.074612332,US,United States,Makakilo City,Hawaii
21.332222306,-158.081513808,US,United States,Makakilo City,Hawaii
21.874366268,-102.307599424,MX,Mexico,Aguascalientes,Aguascalientes
61.609242905,-149.295523223,US,United States,Lakes,Alaska
21.4011236,-158.0133226,US,United States,Waipahu,Hawaii
8.6001218,-70.197655,VE,"Venezuela, Bolivarian Republic of",Barinas,Barinas
19.575937741,-154.975281854,US,United States,Hawaiian Paradise Park,Hawaii
61.139832099,-149.868789863,US,United States,Anchorage,Alaska
19.589451118,-155.97036162,US,United States,Kahaluu-Keauhou,Hawaii
